Kashmiri  ====  Urdu			
20	trg	28.4067	55.712
20	src	28.421	55.7067
20	normalized.src	11.6039	36.1527
40	src	27.8623	55.2254
40	normalized.src	11.3826	36.0358
60	src	27.8822	55.1415
60	normalized.src	11.3829	36.0587
80	src	27.9467	55.2325
80	normalized.src	11.3157	35.9662
100	src	27.9355	55.133
100	normalized.src	11.3968	35.9777
Sindhi  ====  Urdu			
20	trg	37.4538	62.0458
20	src	26.2221	52.9463
20	normalized.src	13.5949	37.7979
40	src	23.4956	50.2234
40	normalized.src	13.2844	37.3768
60	src	20.1919	46.9786
60	normalized.src	13.0083	37.0267
80	src	16.6211	43.8975
80	normalized.src	13.5595	37.5429
100	src	16.4876	43.5047
100	normalized.src	13.5759	37.5857
Sorani  ====  Arabic			
20	trg	30.815	55.9628
20	src	21.543	46.6394
20	normalized.src	24.5294	50.438
40	src	15.1668	39.4938
40	normalized.src	21.7654	47.4987
60	src	8.8889	31.057
60	normalized.src	19.8711	45.7309
80	src	4.7511	24.5967
80	normalized.src	24.11	50.066
100	src	4.7281	24.337
100	normalized.src	24.5347	50.5581
Sorani  ====  Persian			
20	trg	30.815	55.9628
20	src	23.1506	48.291
20	normalized.src	23.5777	49.3241
40	src	18.0359	42.6047
40	normalized.src	21.8423	47.5719
60	src	12.4265	35.539
60	normalized.src	19.4376	45.2324
80	src	6.9575	27.4554
80	normalized.src	23.3974	49.5149
100	src	7.0969	27.5904
100	normalized.src	23.9719	49.4746
